实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
OJSC EHMZ named after N. D. Zelinsky,Company,EU-UKR,制裁,别名: OJSC EHMZ named after N. D. Zelinsky; »Elektrosztali Ny. D. Zelinszkij Vegyi és Mechanikai Üzem« Nyilvánosan Működő Részvénytársaság; JSC “N.D. Zelinsky EHMZ”,ru,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D0936,eu_sanctions,2026-06-19
Khalid SBAA,个人,,制裁,,,https://www.stradalex.com/?page=Stradalex.Controller.PublicHome&action=display&nav=monitorHome&goto=2017013592&lang=fr&utm_medium=email&utm_source=moniteur&redirect_counter=1,eu_sanctions,2026-06-19
Zviad TSEKVAVA,个人,,制裁,,,,eu_sanctions,2026-06-19
Irina Anatoljevna KOSTENKO,个人,EU-UKR,制裁,别名: Irina Anatoljevna KOSTENKO; Iryna Anatolijivna KOSTENKO,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4590,eu_sanctions,2026-06-19
Joint Stock Company Research and Production Association of Measuring Equipment,Company,,制裁,别名: АО «НПО ИТ»; JSC NPO IT; AO Nauchno Proizvodstvennoe Obedinenie Izmeritelnoi Tekhniki,,https://eur-lex.europa.eu/eli/reg/2023/2878,eu_sanctions,2026-06-19
Nurkez,船只,EU-MARE,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D0931,eu_sanctions,2026-06-19
Centrul de detenție al Ministerului Securității Statului (MSS) din districtul Onsong,组织,EU-HR,制裁,别名: Centrul de detenție al Ministerului Securității Statului (MSS) din districtul Onsong; Център за задържане към Министерството на държавната сигурност в окръг Onsong; Valtionturvallisuus-ministeriön Onseongin piirikunnan pidätyskeskus,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=7621,eu_sanctions,2026-06-19
Fuga Bluemarine,船只,EU-MARE,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D0931,eu_sanctions,2026-06-19
Khava Adlanovna EFENDIEVA,个人,,制裁,,,http://www.ejustice.just.fgov.be/cgi/article.pl,eu_sanctions,2026-06-19
Spoločnosť Fajr Aviation Composite Industries,组织,EU-IRN,制裁,别名: Spoločnosť Fajr Aviation Composite Industries; Družba Fajr Aviation Composite Industries,ir,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R0853,eu_sanctions,2026-06-19
Anatoly Anatolyevich BULAVKO,个人,EU-UKR,制裁,别名: Анатоль Анатольевiч БУЛАЎКА; Anatoliy Bulavko; Анатолий Анатольевич БУЛАВКО,by,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4306,eu_sanctions,2026-06-19
Centurion,船只,EU-MARE,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D0931,eu_sanctions,2026-06-19
AO “Вологодский оптико-механический завод”,Company,EU-UKR,制裁,别名: AO “Вологодский оптико-механический завод”; „Vologdai Optikai és Mechanikai Üzem” Rt.; Joint Stock Company Vologda Optical and Mechanical Plant,ru,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D1895,eu_sanctions,2026-06-19
БАЛАБА Артем Дмитриевич,个人,,制裁,,,,eu_sanctions,2026-06-19
Det øverste valgråd,组织,EU-NIC,制裁,别名: Det øverste valgråd; An Chomhairle Uachtarach um Thoghcháin; Oberster Wahlrat,ni,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3761,eu_sanctions,2026-06-19
SoVa Distribution Ltd.,Company,EU-RUS,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32026R0506,eu_sanctions,2026-06-19
Mujahedin-e Khalq Organisation (MEK or MKO),组织,,制裁,"别名: The National Liberation Army of Iran (NLA, the militant wing of the MEK), the People's Mujahidin of Iran (PMOI), Muslim Iranian Student's Society; Муджахедин-e Халк Органайзейшън (MEK или MKO) (без 'Нешънъл Каунсъл ъф Ризистънс ъф Иран (НКРИ)); Дъ Нешънъл Либерейшън Арми ъф Иран (НЛA, военното крило на MEK), дъ Пийпълс Муджахидин ъф Иран (ПМОИ), Муслим Ираниан Стюдънтс Сосайъти",,https://www.dans.bg/images/stories/FID/Reshenie_265_MS_23042003_Spisyk_ZMFT.pdf,eu_sanctions,2026-06-19
"Shenzhen Bailiansheng Electronic Technology Co., Ltd.",Company,EU-RUS,制裁,"别名: Shenzhen Bailiansheng Electronic Science and Technology Co., Ltd; 深圳市佰联升电子科技有限公司",cn,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D0394,eu_sanctions,2026-06-19
Abderrahim MELHAOUI,个人,,制裁,,,http://www.ejustice.just.fgov.be/cgi/article.pl,eu_sanctions,2026-06-19
Vitaly KULIKOV,个人,EU-RUSDA,制裁,别名: Виталий КУЛИКОВ,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202501444,eu_sanctions,2026-06-19
Vitalij Kuzmenko,个人,EU-UKR,制裁,别名: Vitalij Kuzmenko; Виталий Юрьевич КУЗЬМЕНКО,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202400753,eu_sanctions,2026-06-19
Tetiana Volodymyrivna ZJURAVLEVA,个人,EU-UKR,制裁,别名: Tatiana Vladimirovna ZJURAVLEVA; Tetiana Volodymyrivna ZJURAVLEVA; Татьяна Владимировна ЖУРАВЛЕВА,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D1895,eu_sanctions,2026-06-19
Victor Vladimirovich SOYKO,个人,EU-UKR,制裁,别名: Віктар Уладзіміравіч СОЙКА; Viktar Uladzimiravitj Sojka; Viktor Vladimirovitj Sojko,by,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R1529,eu_sanctions,2026-06-19
Incomp Limited,Company,EU-RUS,制裁,,hk,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D0931,eu_sanctions,2026-06-19
Agrim Aviation Private Limited,Company,EU-RUS,制裁,,in,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32025D0931,eu_sanctions,2026-06-19
مراد فتحی,个人,EU-IRN,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R0379,eu_sanctions,2026-06-19
