实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
Joint Stock Company Research and Production Association of Measuring Equipment,法人,,制裁,,,,eu_sanctions_map,2026-06-19
Nurkez,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Fuga Bluemarine,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Centurion,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
"Vologda Optical and Mechanical Plant, JSC",法人,,制裁,,,,eu_sanctions_map,2026-06-19
Tambov Plant (TZ) “October”,法人,,制裁,,,,eu_sanctions_map,2026-06-19
Lily (formerly Daban),船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Elbrus,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Lucky Fairy,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Deliver,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
OSCAR I,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
"Anzali Port, Iran",个人,EU-IRN,制裁,,,,eu_sanctions_map,2026-06-19
Central Research and Development Institute Tsiklon,法人,,制裁,,,,eu_sanctions_map,2026-06-19
AS CALCUTTA,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
UL JI BONG 6,船只,EU-PRK,制裁,,,,eu_sanctions_map,2026-06-19
Tai Shan,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Robin Trade Limited,法人,,制裁,,,,eu_sanctions_map,2026-06-19
LADY LEILA,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
MATROS KOSHKA,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Scientific Production Enterprise “Radiosviaz”,法人,,制裁,,,,eu_sanctions_map,2026-06-19
SEA OWL I,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Sagitta,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Scientific-Production Association Vint of Zvezdochka Shipyard (SPU Vint),法人,,制裁,,,,eu_sanctions_map,2026-06-19
MIKHAIL ULYANOV,船只,EU-MARE,制裁,,,,eu_sanctions_map,2026-06-19
Dolgoprudniy Design Bureau of Automatics (DDBA JSC),法人,,制裁,,,,eu_sanctions_map,2026-06-19
