实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
GAZPROMBANK LEASING ZAO,组织,US-SSI,制裁,别名: CLOSED JOINT-STOCK COMPANY GAZPROMBANK LIZING,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20297,us_ofac_cons,2026-06-19
"SZ DJI Technology Co., Ltd.",组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33111,us_ofac_cons,2026-06-19
Yahia Abdul Aziz AL-ABADSAH,个人,US-NS-PLC,制裁,别名: Yehia Abdul Aziz EL ABADSA,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9656,us_ofac_cons,2026-06-19
OMZ OAO,组织,US-SSI,制裁,别名: OBYEDINYONNYE MASHINOSTROITELNYE ZAVODY (GRUPPA URALMASH-IZHORA),ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20307,us_ofac_cons,2026-06-19
SO TVERNEFTEPRODUKT OOO,组织,US-SSI,制裁,别名: LLC MA TVERNEFTEPRODUCT; LIMITED LIABILITY COMPANY MARKETING ASSOCIATION TVERNEFTEPRODUCT; Sbytovoe Obyedinenie Tvernefteprodukt,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23570,us_ofac_cons,2026-06-19
"GAZPROM GEOLOGORAZVEDKA, OOO",组织,US-SSI,制裁,别名: GAZPROM GEOLOGORAZVEDKA; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM GEOLOGORAZVEDKA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19678,us_ofac_cons,2026-06-19
Ibrahim Mohammed DAHBOUR,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9649,us_ofac_cons,2026-06-19
RT - GLOBALNYE RESURSY OOO,组织,US-SSI,制裁,别名: RT - GLOBAL RESOURCES LIMITED LIABILITY COMPANY; RT GLOBAL RESOURCES,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18768,us_ofac_cons,2026-06-19
"AVIC Jonhon Optronic Technology Co., Ltd.",组织,US-NS-CMIC,制裁,别名: Jonhon,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32055,us_ofac_cons,2026-06-19
Naser ABDUL JAWAD,个人,US-NS-PLC,制裁,别名: Nasir Abdullah Odeh ABDEL JAWAD,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9696,us_ofac_cons,2026-06-19
"Jiangxi Hongdu Aviation Industry Co., Ltd.",组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32088,us_ofac_cons,2026-06-19
"GAZPROM DOBYCHA KRASNODAR, OOO",组织,US-SSI,制裁,别名: GAZPROM DOBYCHA KRASNODAR; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM DOBYCHA KRASNODAR',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19642,us_ofac_cons,2026-06-19
GPB-DI HOLDINGS LIMITED,组织,US-SSI,制裁,别名: SIRITIA VENTURES LTD,cy,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20314,us_ofac_cons,2026-06-19
CHINA SHIPBUILDING INDUSTRY COMPANY LIMITED,组织,US-NS-CMIC,制裁,别名: China Shipbuilding Industry Co Ltd,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32100,us_ofac_cons,2026-06-19
CROSSPLANET LTD,组织,US-SSI,制裁,,cy,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19998,us_ofac_cons,2026-06-19
BOM FINANCE LTD,组织,US-SSI,制裁,,vg,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19996,us_ofac_cons,2026-06-19
Anwar Mohammed ZBOUN,个人,US-NS-PLC,制裁,别名: Anwar Muhammad AL-ZBOUN,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9652,us_ofac_cons,2026-06-19
"GUIZHOU SPACE APPLIANCE CO., LTD",组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32101,us_ofac_cons,2026-06-19
Salem SALAMEH,个人,US-NS-PLC,制裁,别名: Salem Ahmad Abdel Hadi SALAMEH,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9702,us_ofac_cons,2026-06-19
KONTSERN AVIAPRIBOROSTROENIE OAO,组织,US-SSI,制裁,别名: AIRCRAFT ENGINEERING CONCERN OPEN JOINT STOCK COMPANY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18791,us_ofac_cons,2026-06-19
"UMANSKI ELEVATOR, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'UMANSKI ELEVATOR'; OPEN JOINT STOCK COMPANY 'Umanskiy Elevator',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20661,us_ofac_cons,2026-06-19
SBERBANK EUROPE AG,组织,US-SSI,制裁,,at,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18716,us_ofac_cons,2026-06-19
KALININGRADNEFTEPRODUKT OOO,组织,US-SSI,制裁,别名: LLC KALININGRADNEFTEPRODUCT; KALININGRADNEFTEPRODUKT LLC; LIMITED LIABILITY COMPANY KALININGRADNEFTEPRODUCT,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23569,us_ofac_cons,2026-06-19
"China United Network Communications Group Co., Ltd.",组织,US-NS-CMIC,制裁,别名: China United Network Communications Group Company Limited; CHINA UNICOM,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30942,us_ofac_cons,2026-06-19
Shaanxi Zhongtian Rocket Technology Company Limited,组织,US-NS-CMIC,制裁,"别名: Shaanxi Zhongtian Rocket Technology Co., Ltd",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32131,us_ofac_cons,2026-06-19
LIMITED LIABILITY COMPANY SBERBANK INSURANCE BROKER,组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU STRAKHOVOI BROKER SBERBANKA; LLC INSURANCE BROKER OF SBERBANK; OOO STRAKHOVOI BROKER SBERBANKA,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18751,us_ofac_cons,2026-06-19
Avic Xi'An Aircraft Industry Group Company Ltd.,组织,US-NS-CMIC,制裁,"别名: Xi'an Aircraft Industry Group Co Ltd; AVIC Aircraft Co., Ltd.; AVIC XiAn Aircraft Industry Group Co Ltd",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32052,us_ofac_cons,2026-06-19
"TRANSNEFT-PODVODSERVIS, AO",组织,US-SSI,制裁,别名: JSC 'VOLZHSKY PODVODNIK'; AKTSIONERNOE OBSHCHESTVO 'TRANSNEFT-PODVODSERVIS'; OPEN JOINT-STOCK COMPANY 'VOLZHSKY PODVODNIK',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22398,us_ofac_cons,2026-06-19
AKTSIONERNOE OBSHCHESTVO RT-OKHRANA,组织,US-SSI,制裁,"别名: RT-OKHRANA, AO; ZAO RT-OKHRANA; RT-OKHRANA ZAO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18785,us_ofac_cons,2026-06-19
IZ KARTEKS OOO,组织,US-SSI,制裁,别名: IZ-KARTEX NAMED AFTER P.G. KOROBKOV LTD,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20304,us_ofac_cons,2026-06-19
CNOOC Limited,组织,US-NS-CMIC,制裁,别名: CNOOC Ltd,cn; hk,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30926,us_ofac_cons,2026-06-19
"Changsha Jingjia Microelectronics Co., Ltd.",组织,US-NS-CMIC,制裁,"别名: Changsha Jingjia Microelectronics Co., Ltd; JINGJIA MICRO",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32102,us_ofac_cons,2026-06-19
"KRASNOYARSKGAZPROM, PAO",组织,US-SSI,制裁,别名: PUBLICHNOE AKTSIONERNOE OBSHCHESTVO 'KRASNOYARSKGAZPROM'; KRASNOYARSKGAZPROM,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19691,us_ofac_cons,2026-06-19
GAZPROMBANK LATIN AMERICA VENTURES BV,组织,US-SSI,制裁,,nl,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20319,us_ofac_cons,2026-06-19
Mahmoud AL-KHATIB,个人,US-NS-PLC,制裁,别名: Mahmoud Daoud Mahmoud AL-KHATIB,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9687,us_ofac_cons,2026-06-19
Jamal SALEH,个人,US-NS-PLC,制裁,别名: Jamal Talab Mohammad Saleh NASSER; Jamal Talab SALEH,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9705,us_ofac_cons,2026-06-19
China Communications Group Company Limited,组织,US-NS-CMIC,制裁,别名: China Communications Group Company Limited; China Communications Group Co. Ltd; China Communications Construction Group (Ltd),cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32072,us_ofac_cons,2026-06-19
"North Navigation Control Technology Co., Ltd.",组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32130,us_ofac_cons,2026-06-19
VEB ASIA LIMITED,组织,US-SSI,制裁,,hk; cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18295,us_ofac_cons,2026-06-19
VTB LEASING JOINT STOCK COMPANY,组织,US-SSI,制裁,别名: JSC VTB Leasing; AO VTB Lizing; VTB Leasing JSC,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18739,us_ofac_cons,2026-06-19
"GAZPROM PROMGAZ, AO",组织,US-SSI,制裁,别名: AKTSIONERNOE OBSHCHESTVO 'GAZPROM PROMGAZ'; GAZPROM PROMGAZ,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19686,us_ofac_cons,2026-06-19
"Dawning Information Industry Co., Ltd",组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33113,us_ofac_cons,2026-06-19
Yousef AL-SHARAFI,个人,US-NS-PLC,制裁,别名: Yousef Awad AL-SHRAFI,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9710,us_ofac_cons,2026-06-19
Ali Salim ROUMANIN,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9665,us_ofac_cons,2026-06-19
LIMITED LIABILITY COMPANY SBERBANK CAPITAL,组织,US-SSI,制裁,别名: SBERBANK CAPITAL LIMITED LIABILITY COMPANY; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SBERBANK KAPITAL; SBERBANK KAPITAL OOO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18669,us_ofac_cons,2026-06-19
"NOVATEK-PUROVSKI ZPK, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NOVATEK-PUROVSKI ZPK'; OOO NOVATEK-PUROVSKY ZPK,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20679,us_ofac_cons,2026-06-19
Imad Mahmoud NOFAL,个人,US-NS-PLC,制裁,别名: Imad Mahmoud NAWFAL,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9653,us_ofac_cons,2026-06-19
"Leon Technology Co., Ltd.",组织,US-NS-CMIC,制裁,"别名: Leon Technology Co., Ltd.",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33894,us_ofac_cons,2026-06-19
