实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
"Myanmar Yatai International Holding Group Co., LTD.",组织,US-GLOMAG,制裁,别名: Yatai New City; Shwe Kokko Special Economic Zone; Yatai Smart Industrial New City,mm,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=54742,us_ofac_sdn,2026-06-19
Michael Kuajien,个人,US-GLOMAG,制裁,别名: Michael Kuajien Duer Mayok; Michael Kuajian,ke,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28033,us_ofac_sdn,2026-06-19
Limited Liability Company Specialized Developer Alabuga South Park,组织,US-RUSHAR,制裁,别名: OOO СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК АЛАБУГА ЮЖНЫЙ ПАРК; LLC Specialized Developer Alabuga South Park,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47297,us_ofac_sdn,2026-06-19
Digital Marketing Awards FZ LLC,组织,US-RUSHAR,制裁,别名: Swiss Dragons Management Digital Marketing Awards,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=49834,us_ofac_sdn,2026-06-19
EKVIK LIMITED LIABILITY COMPANY,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=51081,us_ofac_sdn,2026-06-19
Star Dragon Corporation Limited,组织,US-DRC,制裁,,hk; cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=55049,us_ofac_sdn,2026-06-19
Scientific and Production Association of Measuring Equipment JSC,组织,US-RUSHAR,制裁,别名: Aktsionernoe Obschestvo Nauchno Proizvodstvennoe Obedinenie Izmeritelnoy Tekhniki; Scientific and Production Association of Measuring Technology,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=38138,us_ofac_sdn,2026-06-19
Bahram Ali SHAYESTEH,个人,US-NARCO,制裁,别名: Bahrami Ali SHAYESTEH; Bahrami Ali JADALI,de,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=12600,us_ofac_sdn,2026-06-19
GOLDEN LUXURY JEWELLERY TRADING L.L.C,组织,US-GLOMAG,制裁,,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=52100,us_ofac_sdn,2026-06-19
Messaoud Belhireche,个人,US-TERR,制裁,别名: Usamah 'Abd-al-Wahid al-Jaza'iri Belkacem; Usama Abu-'Abd-al-Wahid AL-JAZA'IRI,ml,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=48699,us_ofac_sdn,2026-06-19
Nasser Al Sheikh Ali,个人,US-TERR,制裁,别名: Nasser Kamel Ali Alshaikhali,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=45917,us_ofac_sdn,2026-06-19
البحر الأحمر للطاقة م م ح,组织,US-IRAN,制裁,,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40950,us_ofac_sdn,2026-06-19
"Sun Science International Co., Limited",组织,US-IRAN,制裁,,hk; cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=53149,us_ofac_sdn,2026-06-19
"LOLA LOLITA 1110, S. DE R.L. DE C.V.",组织,US-NARCO,制裁,"别名: LOLALOLITA 1110, S. DE R.L. DE C.V.",mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21103,us_ofac_sdn,2026-06-19
Nurkez,船只,US-RUSHAR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=51639,us_ofac_sdn,2026-06-19
Angel Daniel BALESTRINI JARAMILLO,个人,US-VEN,制裁,,ve,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=51256,us_ofac_sdn,2026-06-19
Desarrollos Cartok S.A. de C.V.,组织,US-NARCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=57359,us_ofac_sdn,2026-06-19
TAWU Mechanical Engineering and Trading Company,组织,US-IRAN,制裁,别名: TAWU BVBA; TAWU BVBA Mechanical Engineering and Trading Company,be,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27022,us_ofac_sdn,2026-06-19
sepehr energy paya gostar jahan,组织,US-TERR,制裁,,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=52827,us_ofac_sdn,2026-06-19
ДЕНИС ИГОРЕВИЧ ГУСЕВ,个人,US-CYB,制裁,别名: Marin Pomojac; David Gotman,il; ru; md,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26671,us_ofac_sdn,2026-06-19
Общество С Ограниченной Ответственностью Литиумион,组织,US-RUSHAR,制裁,别名: Lithiumion LTD,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=52207,us_ofac_sdn,2026-06-19
PRINCE SEASHORE NO. 1 CO. LTD.,组织,US-TCO,制裁,,kh,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=55615,us_ofac_sdn,2026-06-19
Taranjeet Kambo,个人,US-RUSHAR,制裁,别名: Tarandzhit Singkh Kambo,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50173,us_ofac_sdn,2026-06-19
AURORATOOLS LIMITED LIABILITY COMPANY,组织,US-RUSHAR,制裁,别名: OOO Avroratuls,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50760,us_ofac_sdn,2026-06-19
Sang Jun JI,个人,US-NK,制裁,别名: Sang-chun Chi,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23010,us_ofac_sdn,2026-06-19
Limited Liability Company Osnova Lab,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=41114,us_ofac_sdn,2026-06-19
South Wealth Resources Company,组织,US-IRAN,制裁,"别名: South Wealth Resources Ltd.; Shirkat Manabi' Tharawat Al-Janub Liltijarah Al-'Ammah; Manabea Tharwat Al-Janoob General Trading Company, LLC",iq,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26861,us_ofac_sdn,2026-06-19
"KIBER SERVIS, OOO",组织,US-RUSHAR,制裁,别名: Kiber Service,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50169,us_ofac_sdn,2026-06-19
Bargawine Hong Kong Limited,组织,US-RUSHAR,制裁,,hk; cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=49133,us_ofac_sdn,2026-06-19
BANK SADERAT PLC,组织,US-IRAN,制裁,,ir; gb,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=4642,us_ofac_sdn,2026-06-19
NPO COMPUTER,组织,US-RUSHAR,制裁,别名: NPO Kompyuter,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=47684,us_ofac_sdn,2026-06-19
EX-301,Airplane,US-TERR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15437,us_ofac_sdn,2026-06-19
AUTO PARTS EAST FZCO,组织,US-RUSHAR,制裁,,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=51227,us_ofac_sdn,2026-06-19
Mohammad Mahdi Maghfoori,个人,US-TERR,制裁,别名: Mehdi Maghfoori,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50856,us_ofac_sdn,2026-06-19
Benoil Shipping Inc,组织,US-IRAN,制裁,,lr,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=56854,us_ofac_sdn,2026-06-19
RHINE SHIPPING DMCC,组织,US-IRAN,制裁,,ae,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=54412,us_ofac_sdn,2026-06-19
خبرگزاری فارس,组织,US-IRAN,制裁,别名: Fars News Agency Cultural Institute; مؤسسه فرهنگی خبرگزاری فارس,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=45049,us_ofac_sdn,2026-06-19
"TRANSPORTES REFRIGERADOS PANDAS TRUCKING, SOCIEDAD ANONIMA DE CAPITAL VARIABLE",组织,US-NARCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=35279,us_ofac_sdn,2026-06-19
CONRAD,船只,US-TERR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=48716,us_ofac_sdn,2026-06-19
"CORPORATIVO FEARFI, S.A. DE C.V.",组织,US-NARCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21084,us_ofac_sdn,2026-06-19
Umar Siddique Kathio AZMARAI,个人,US-TERR,制裁,别名: Abdullah AL-SINDI; Omar CHANDYO; Abdullah AL-SINDHI,pk,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16221,us_ofac_sdn,2026-06-19
SAZEH MORAKAB CO. LTD,组织,US-IRAN,制裁,,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16854,us_ofac_sdn,2026-06-19
María Monserrat ÁVILA ROCHA,个人,US-NARCO,制裁,别名: Maria Monserrate Avila Rocha; Maria Monserrate Avila de la Rocha,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=21569,us_ofac_sdn,2026-06-19
FU YUAN YU 8644,船只,US-GLOMAG,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33743,us_ofac_sdn,2026-06-19
Serene I,船只,US-TERR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50851,us_ofac_sdn,2026-06-19
Kumgang Bank,组织,US-NK,制裁,,kp,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20571,us_ofac_sdn,2026-06-19
Dingtai Industrial Technology Co Limited,组织,US-IRAN,制裁,,hk; cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=52753,us_ofac_sdn,2026-06-19
Jahangir Yevgenyevich ALIYEV,个人,US-RUSHAR,制裁,别名: Cahangir Yevqenyevic ALIYEV,az,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=48776,us_ofac_sdn,2026-06-19
Joint Stock Company Vologodsky Optiko Mekhanichesky Factory,组织,US-RUSHAR,制裁,别名: Vologda Optical and Mechanical Plant JSC; Joint Stock Company VOMZ,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=38140,us_ofac_sdn,2026-06-19
LIMITED LIABILITY COMPANY KHAVERIM,组织,US-RUSHAR,制裁,别名: Chaverim; LLC Haverim,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=49782,us_ofac_sdn,2026-06-19
"SINOTECH INDUSTRY CO., LTD.",组织,US-IRAN,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16852,us_ofac_sdn,2026-06-19
German Alberto PEREZ OCAMPO,个人,US-NARCO,制裁,别名: Gustavo Adolfo ORTIZ ESPINEL,co,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16727,us_ofac_sdn,2026-06-19
MARJAN PETROCHEMICAL COMPANY,组织,US-IRAN,制裁,别名: MARJAN METHANOL COMPANY,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=16033,us_ofac_sdn,2026-06-19
Naxos Maritime and Trading S.A.,组织,US-IRAN,制裁,,pa,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=57137,us_ofac_sdn,2026-06-19
LOANNA,船只,US-IRAN,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=55884,us_ofac_sdn,2026-06-19
Alexander Franz Josef Lins,个人,US-RUSHAR,制裁,,li,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50045,us_ofac_sdn,2026-06-19
Black Shield Company for General Trading LLC,组织,US-BRUS,制裁,别名: Black Shield Company Ltd.,iq,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=48380,us_ofac_sdn,2026-06-19
Filistin Vakfi,组织,US-TERR,制裁,,tr,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=53918,us_ofac_sdn,2026-06-19
瑞邦海運股份有限公司,组织,US-NK,制裁,,tw,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=26929,us_ofac_sdn,2026-06-19
Wanji,船只,US-TERR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=49840,us_ofac_sdn,2026-06-19
EP-MOF,Airplane,US-TERR,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15476,us_ofac_sdn,2026-06-19
LLC Interresurs,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=50906,us_ofac_sdn,2026-06-19
Antonio Romero Sanchez,个人,US-NARCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=54503,us_ofac_sdn,2026-06-19
FU YUAN YU 7603,船只,US-GLOMAG,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=33767,us_ofac_sdn,2026-06-19
Oceanic Orbit Incorporated,组织,US-IRAN,制裁,,pa,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=53818,us_ofac_sdn,2026-06-19
Gerardo Rivera Ibarra,个人,US-NARCO,制裁,,mx,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=49747,us_ofac_sdn,2026-06-19
HENGYANG PETROCHEMICAL LOGISTICS LIMITED,组织,US-IRAN,制裁,"别名: HENGYANG PETROCHEMICAL LOGISTICS CO., LIMITED",sg; cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=55897,us_ofac_sdn,2026-06-19
BlACK GOLD TRADE CORPORATION,组织,US-IRAN,制裁,,mh,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=57878,us_ofac_sdn,2026-06-19
Chunpeng Su,个人,US-NON-PROLIF,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=44019,us_ofac_sdn,2026-06-19
AO Inforus,组织,US-RUSHAR,制裁,,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=35262,us_ofac_sdn,2026-06-19
IGT Intergestions Trust Reg.,组织,US-RUSHAR,制裁,,li,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=42998,us_ofac_sdn,2026-06-19
Nidal Ahmed WAKED HATUM,个人,US-NARCO,制裁,别名: Nidal WAKED HATOUM,es; pa,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18940,us_ofac_sdn,2026-06-19
Elvegard Shipping Ltd,组织,US-TERR,制裁,,mh; in,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=36070,us_ofac_sdn,2026-06-19
علی رضا شفیعی نسب,个人,US-TERR,制裁,别名: Ali Reza Shafi'i Nasab; Alireza Shafi'inasab,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=48642,us_ofac_sdn,2026-06-19
GEOTECH HOLDINGS LIMITED,组织,US-TCO,制裁,,hk; cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=55919,us_ofac_sdn,2026-06-19
Oleg Yuryevich Nesterov,个人,US-RUSHAR,制裁,,ua; ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=40129,us_ofac_sdn,2026-06-19
Finrost Limited,组织,US-GLOMAG,制裁,,cy,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=28126,us_ofac_sdn,2026-06-19
Ebrahim Shariatzadeh,个人,US-IRAN,制裁,,ir,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=57053,us_ofac_sdn,2026-06-19
